elapsed;label;responseCode;responseMessage;success;bytes;URL
55;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
62;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
36;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
32;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
59;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
102;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
75;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
39;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
61;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
56;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
45;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
61;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
31;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
88;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
20;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
152;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
101;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
91;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
75;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
95;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
95;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
79;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
128;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
75;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
109;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
9;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
32;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
61;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
60;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
90;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
86;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
97;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
93;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
86;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
86;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
62;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
95;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
93;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
68;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
87;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
71;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
107;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
126;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
118;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
20;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
23;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
41;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
